Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,799.401,0.504994,0.000194104,4078.02,-5491.22,1432.4
1,PUT,832.43,-0.495081,0.00019525,4078.56,-3830.33,-1543.9
2,CALL,764.748,0.497158,0.000198626,4005.38,-5549.3,1363.89
2,PUT,839.801,-0.502944,0.000199361,4006,-3886.3,-1520.25
3,CALL,857.332,0.537531,0.000198065,3941.72,-5705.19,1432.73
3,PUT,726.604,-0.462124,0.00019814,3942.24,-4039.62,-1351.93
4,CALL,966.558,0.582733,0.000204381,3829,-5814.69,1503.52
4,PUT,615.624,-0.417237,0.000200233,3828.93,-4140.42,-1177.92
5,CALL,960.414,0.586843,0.000199747,3750.47,-5902.34,1459.19
5,PUT,595.744,-0.41295,0.000198165,3750.15,-4222.02,-1126.45
6,CALL,947.59,0.588205,0.000202998,3675.18,-5994.33,1408.92
6,PUT,580.022,-0.41172,0.000205788,3675.32,-4310.81,-1077.42
7,CALL,977.722,0.605128,0.000206224,3570.82,-6080.46,1391.57
7,PUT,534.984,-0.395063,0.000208989,3571.2,-4390.15,-991.84
8,CALL,867.739,0.572993,0.000219166,3546.2,-6196.53,1262.22
8,PUT,586.298,-0.427033,0.000212826,3546.44,-4514.66,-1025.08
9,CALL,935.552,0.604518,0.000210609,3420.09,-6282.94,1278.39
9,PUT,512.828,-0.395527,0.000213779,3420.04,-4602.02,-910.641
10,CALL,904.646,0.601133,0.000222143,3346.29,-6398.81,1212.76
10,PUT,507.079,-0.398799,0.000219845,3346.66,-4719.44,-875.098
11,CALL,1010.06,0.646284,0.000221832,3162.19,-6425.52,1249.8
11,PUT,418.189,-0.353448,0.000218325,3162.56,-4741.67,-739.584
12,CALL,868.484,0.603685,0.000234387,3179.11,-6647.99,1104.51
12,PUT,477.244,-0.396397,0.000234375,3179.1,-4972.13,-784.988
13,CALL,803.101,0.5865,0.000244303,3120.74,-6801.39,1017.97
13,PUT,493.289,-0.413526,0.000241793,3120.42,-5138.61,-773.737
14,CALL,1010.92,0.67435,0.000219826,2834.08,-6711.23,1110.26
14,PUT,344.459,-0.326087,0.000228925,2834.19,-5041.63,-580.011
15,CALL,849.394,0.624152,0.000246993,2878.2,-7029.13,966.76
15,PUT,405.071,-0.375762,0.000250369,2878.02,-5397.35,-626.303
16,CALL,976.614,0.682768,0.00024424,2631.05,-6948.04,993.579
16,PUT,310.435,-0.316906,0.000242503,2631.68,-5324.47,-496.89
17,CALL,921.873,0.674917,0.000256086,2566.69,-7171.11,919.251
17,PUT,310.09,-0.32505,0.000251116,2566.18,-5551.6,-474.713
18,CALL,971.86,0.706152,0.000247865,2372.47,-7162.83,896.838
18,PUT,261.299,-0.29366,0.000248606,2372.18,-5544.95,-398.792
19,CALL,859.635,0.677393,0.00026924,2366.04,-7563.5,792.297
19,PUT,283.837,-0.322513,0.000273525,2365.71,-5959.9,-402.002
20,CALL,815.555,0.673924,0.000281634,2273.69,-7821.7,724.518
20,PUT,275.278,-0.326177,0.000282051,2274.08,-6235.55,-373.334
21,CALL,527.85,0.542885,0.000339113,2356.82,-8509.03,526.935
21,PUT,422.349,-0.457061,0.000335606,2356.84,-6959.49,-470.242
22,CALL,546.855,0.571311,0.000352086,2218,-8840.72,500.293
22,PUT,364.018,-0.428666,0.000345864,2218.19,-7299.62,-397.534
23,CALL,575.33,0.607969,0.000365102,2053.54,-9137.07,474.762
23,PUT,301.733,-0.392137,0.000358824,2053.46,-7613.95,-323.383
24,CALL,368.077,0.483836,0.000402172,1972.66,-9652.43,328.076
24,PUT,423.385,-0.516074,0.000403467,1972.67,-8168.28,-369.586
25,CALL,284.105,0.429777,0.000426212,1792.09,-9951.57,250.021
25,PUT,459.623,-0.570296,0.000427078,1792.36,-8500.38,-349.088
26,CALL,607.835,0.707186,0.000402209,1461.05,-9831.98,347.119
26,PUT,158.966,-0.292645,0.000403941,1460.8,-8394.05,-150.633
27,CALL,625.536,0.755573,0.00041124,1195.65,-9548.66,298.352
27,PUT,112.04,-0.244472,0.000409543,1196.33,-8169.47,-100.735
28,CALL,430.314,0.67557,0.000546464,1179.83,-12034.1,198.599
28,PUT,140.966,-0.324458,0.000547906,1179.52,-10747.5,-99.6445
29,CALL,331.372,0.654702,0.000692481,985.116,-21720.1,128.909
29,PUT,125.06,-0.345182,0.000688273,984.856,-10831.8,-70.6619
30,CALL,508.866,0.903353,0.000443452,327.951,-28862,89.7888
30,PUT,17.6064,-0.096645,0.000443911,327.976,-3864.23,-9.98306
31,CALL,638.734,0.899062,-0.000687443,0,-0,0
31,PUT,0,0,0,0,-0,0
