Day,Call/Put,OptionPrice,Delta,Gamma,Vega,Theta,Rho
1,CALL,799.4,0.504999,0.000194104,4078,-5491.19,1432.31
1,PUT,832.431,-0.495082,0.000195076,4078.57,-3830.35,-1543.85
2,CALL,764.748,0.497169,0.000198402,4005.38,-5549.34,1363.85
2,PUT,839.8,-0.502936,0.000199174,4005.98,-3886.32,-1520.3
3,CALL,857.332,0.537525,0.000197966,3941.72,-5705.19,1432.75
3,PUT,726.604,-0.462125,0.000198165,3942.25,-4039.54,-1352.01
4,CALL,966.557,0.582754,0.000204318,3829,-5814.71,1503.64
4,PUT,615.623,-0.41725,0.000200046,3828.93,-4140.4,-1177.97
5,CALL,960.414,0.586857,0.000199535,3750.47,-5902.33,1459.39
5,PUT,595.744,-0.41292,0.000197729,3750.15,-4222.04,-1126.44
6,CALL,947.59,0.588198,0.000202587,3675.16,-5994.35,1408.8
6,PUT,580.021,-0.411717,0.000205788,3675.33,-4310.8,-1077.37
7,CALL,977.723,0.605126,0.000205502,3570.84,-6080.43,1391.49
7,PUT,534.984,-0.395058,0.000209182,3571.17,-4390.13,-991.772
8,CALL,867.739,0.572992,0.000219291,3546.26,-6196.53,1262.24
8,PUT,586.297,-0.427042,0.000212726,3546.42,-4514.66,-1025.07
9,CALL,935.552,0.604521,0.000210509,3420.08,-6282.93,1278.4
9,PUT,512.828,-0.395505,0.000213822,3420.06,-4602.06,-910.602
10,CALL,904.645,0.601147,0.000222317,3346.29,-6398.81,1212.76
10,PUT,507.079,-0.398794,0.00021982,3346.69,-4719.44,-875.073
11,CALL,1010.05,0.64627,0.000221956,3162.25,-6425.61,1249.84
11,PUT,418.189,-0.353452,0.000218033,3162.57,-4741.69,-739.56
12,CALL,868.484,0.603678,0.000234549,3179.14,-6648.05,1104.47
12,PUT,477.244,-0.3964,0.000234282,3179.09,-4972.13,-784.995
13,CALL,803.101,0.586503,0.000243593,3120.74,-6801.39,1017.85
13,PUT,493.289,-0.413532,0.000241861,3120.4,-5138.59,-773.669
14,CALL,1010.92,0.674345,0.000220175,2834.16,-6711.26,1110.25
14,PUT,344.459,-0.32609,0.000228739,2834.2,-5041.67,-580.002
15,CALL,849.393,0.624137,0.00024728,2878.2,-7029.22,966.852
15,PUT,405.072,-0.375773,0.000250593,2878.03,-5397.35,-626.282
16,CALL,976.614,0.682765,0.000244303,2631.05,-6948.03,993.304
16,PUT,310.435,-0.31691,0.000242665,2631.67,-5324.46,-496.951
17,CALL,921.872,0.674908,0.000256684,2566.69,-7171.13,919.434
17,PUT,310.09,-0.325046,0.000251035,2566.19,-5551.58,-474.698
18,CALL,971.862,0.706163,0.000247865,2372.5,-7162.85,896.93
18,PUT,261.299,-0.293647,0.000248612,2372.18,-5544.95,-398.743
19,CALL,859.635,0.677386,0.000269252,2366.03,-7563.58,792.279
19,PUT,283.836,-0.322507,0.000273575,2365.71,-5959.89,-402.011
20,CALL,815.554,0.673947,0.00028182,2273.68,-7821.68,724.567
20,PUT,275.278,-0.326168,0.000282179,2274.07,-6235.55,-373.346
21,CALL,527.85,0.542907,0.000339449,2356.82,-8509.01,527.02
21,PUT,422.349,-0.457057,0.00033555,2356.87,-6959.48,-470.273
22,CALL,546.855,0.57131,0.000352266,2218,-8840.63,500.421
22,PUT,364.018,-0.428669,0.000345882,2218.18,-7299.67,-397.58
23,CALL,575.33,0.607979,0.000365389,2053.49,-9137.03,474.768
23,PUT,301.733,-0.392137,0.0003588,2053.46,-7613.96,-323.499
24,CALL,368.078,0.48384,0.000402085,1972.65,-9652.41,328.152
24,PUT,423.385,-0.516077,0.000403679,1972.67,-8168.26,-369.507
25,CALL,284.105,0.429784,0.000426315,1792.09,-9951.57,250.11
25,PUT,459.624,-0.570289,0.000427782,1792.37,-8500.43,-349.094
26,CALL,607.837,0.707204,0.000401798,1461.01,-9831.96,346.991
26,PUT,158.966,-0.292642,0.000403981,1460.79,-8394.05,-150.612
27,CALL,625.536,0.75558,0.000411203,1195.68,-9548.67,298.358
27,PUT,112.04,-0.244473,0.000409582,1196.33,-8169.46,-100.749
28,CALL,430.315,0.675571,0.000546632,1179.81,-12034,198.471
28,PUT,140.966,-0.324457,0.000547909,1179.51,-10747.5,-99.6338
29,CALL,331.372,0.654708,0.0006926,985.137,-21720.1,128.894
29,PUT,125.06,-0.34518,0.000688171,984.856,-10831.8,-70.6665
30,CALL,508.866,0.903348,0.000443159,327.935,-28862,89.7766
30,PUT,17.6064,-0.0966441,0.000443903,327.976,-3864.23,-9.98364
31,CALL,638.734,0.899062,-0.000687443,0,-0,0
31,PUT,0,0,0,0,-0,0
